age,cps_hours,hours_Current parameters,hours_Calibrated parameters,chi_n_Current parameters,chi_n_Calibrated parameters,scf_wealth,wealth_Current parameters,wealth_Calibrated parameters
84,,0.2781022929336998,0.03613176899443271,42.6208256,7411.731485178616,,1535520.9525860457,879451.253227421
85,,0.27390821299695967,0.03600245332020441,43.37786072,7411.731485178616,,1555517.5667691163,865440.491383894
86,,0.2657606243425934,0.03584185645776376,45.38166073,7411.731485178616,,1574803.4635908836,851701.3783468127
87,,0.2612770215135774,0.03564496106193843,46.22395387,7411.731485178616,,1592475.6704202804,837974.1928092906
88,,0.24808810567114378,0.03541172759142809,50.21419653,7411.731485178616,,1608996.9763550397,824150.3108654997
89,,0.24375890395154304,0.03514550975781939,51.05246704,7411.731485178616,,1623098.068145613,810326.5632444738
90,,0.2346831604704087,0.03484617876652657,53.86896121,7411.731485178616,,1636332.5158974193,796686.9590230099
91,,0.2321256305018511,0.03450718961462329,53.90029708,7411.731485178616,,1648154.9744853964,783391.7940349387
92,,0.21336893620111408,0.0341334606819151,61.83586775,7411.731485178616,,1659575.926941938,770528.3171749089
93,,0.20545310086306187,0.03372421597999474,64.87563699,7411.731485178616,,1668360.3790478632,758111.9933909441
94,,0.1994503150801337,0.033278213872113674,66.91207845,7411.731485178616,,1676015.0226352,746102.2021799249
95,,0.19487170574878712,0.03279318382829474,68.07449767,7411.731485178616,,1682774.5069897056,734457.1341966607
96,,0.18740328135937168,0.03226846719773055,71.27919965,7411.731485178616,,1688878.0727196475,723205.9591783728
97,,0.18164857406074275,0.0317072401700872,73.57195873,7411.731485178616,,1694184.623851986,712483.7890613362
98,,0.17769574461385687,0.031131702856443705,74.95045988,7411.731485178616,,1699301.2692310417,702529.2528310771
99,,0.17476900752245542,0.030625627644061064,76.6230815,7411.731485178616,,1705053.5644232007,693649.1402842893
