year,age,networth,networth_infadj,wgt,income,wageinc,bussefarminc,intdivinc,kginc,ssretinc,transfothinc,income_infadj
2010,55,-367.39825218476904,-436.9042089295716,4296.163761369784,11380.998727758082,6245.6700335257765,0.0,277.5853348233678,3469.8166852920986,1387.9266741168392,0.0,13534.104249028715
2010,55,-367.39825218476904,-436.9042089295716,4220.253552749158,11380.998727758082,6245.6700335257765,0.0,277.5853348233678,3469.8166852920986,1387.9266741168392,0.0,13534.104249028715
2010,55,-367.39825218476904,-436.9042089295716,4279.796553754625,11380.998727758082,6245.6700335257765,0.0,277.5853348233678,3469.8166852920986,1387.9266741168392,0.0,13534.104249028715
2010,22,1092.6342072409489,1299.3433722812538,5768.713609146501,24982.680134103106,24982.680134103106,0.0,0.0,0.0,0.0,0.0,29709.009327136202
2010,22,1092.6342072409489,1299.3433722812538,5773.320760601295,24982.680134103106,24982.680134103106,0.0,0.0,0.0,0.0,0.0,29709.009327136202
2010,22,1092.6342072409489,1299.3433722812538,5813.581160342489,24982.680134103106,24982.680134103106,0.0,0.0,0.0,0.0,0.0,29709.009327136202
2010,22,1092.6342072409489,1299.3433722812538,5735.327048421483,24982.680134103106,24982.680134103106,0.0,0.0,0.0,0.0,0.0,29709.009327136202
2010,22,1092.6342072409489,1299.3433722812538,5747.6555726163215,24982.680134103106,24982.680134103106,0.0,0.0,0.0,0.0,0.0,29709.009327136202
2010,66,4907020.224719102,5835351.084915112,2480.851759517961,188758.0276798901,136016.81406345023,2774.465421559561,49965.36026820621,-1.3879266741168392,0.0,0.0,224468.0704716957
2010,66,5291764.044943821,6292882.369879648,2435.2162523463007,187370.10100577332,136016.81406345023,2774.465421559561,49965.36026820621,-1.3879266741168392,0.0,0.0,222817.56995352154
2010,66,5001396.504369538,5947581.8686959045,2606.685437005338,188758.0276798901,136016.81406345023,2774.465421559561,49965.36026820621,-1.3879266741168392,0.0,0.0,224468.0704716957
2010,66,4826575.031210986,5739686.929130903,2611.900198139958,187370.10100577332,136016.81406345023,2774.465421559561,49965.36026820621,-1.3879266741168392,0.0,0.0,222817.56995352154
2010,66,5111889.138576779,6078977.967217846,2431.659785840834,188758.0276798901,134628.8873893334,2774.465421559561,49965.36026820621,-1.3879266741168392,0.0,0.0,224468.0704716957
2010,68,359203.4956304619,427159.13363746216,5419.375142290127,40249.873549388336,0.0,-1.3879266741168392,0.0,0.0,11519.791395169765,27758.53348233679,47864.51502705277
2010,68,357837.70287141076,425534.95442211063,5462.725647788719,22206.826785869427,0.0,-1.3879266741168392,0.0,0.0,11519.791395169765,9854.279386229558,26408.008290787733
2010,68,355242.69662921346,422449.0139129426,5468.913494304014,44413.653571738854,0.0,-1.3879266741168392,0.0,0.0,11380.998727758082,31922.313504687303,52816.016581575466
2010,68,364803.2459425718,433818.26842040365,5276.613552089153,36086.09352703782,0.0,-1.3879266741168392,0.0,0.0,11519.791395169765,24982.680134103106,42913.01347253007
2010,68,359203.4956304619,427159.13363746216,5544.735553426954,38861.9468752715,0.0,-1.3879266741168392,0.0,0.0,11519.791395169765,27758.53348233679,46214.01450887853
2010,35,5736.329588014982,6821.552704476583,4443.728304140127,23594.753459986263,13879.266741168394,0.0,0.0,0.0,0.0,9993.072053641243,28058.508808961964
2010,35,5736.329588014982,6821.552704476583,4478.7995504243645,23594.753459986263,13879.266741168394,0.0,0.0,0.0,0.0,9993.072053641243,28058.508808961964
2010,35,5736.329588014982,6821.552704476583,4490.787175960033,23594.753459986263,13879.266741168394,0.0,0.0,0.0,0.0,9993.072053641243,28058.508808961964
2010,35,5872.9088639201,6983.970626011739,4385.403503084556,24982.680134103106,13879.266741168394,0.0,0.0,0.0,0.0,9993.072053641243,29709.009327136202
2010,35,5736.329588014982,6821.552704476583,4465.333435639502,23594.753459986263,13879.266741168394,0.0,0.0,0.0,0.0,9993.072053641243,28058.508808961964
2010,56,4336801.747815231,5157256.262505831,1859.707181997997,0.0,0.0,-12.491340067051555,0.0,0.0,27758.53348233679,0.0,0.0
2010,56,4338850.436953808,5159692.53132886,1776.0955081376214,0.0,0.0,-12.491340067051555,0.0,0.0,27758.53348233679,0.0,0.0
2010,56,4335435.955056179,5155632.083290479,1902.7254086570483,0.0,0.0,-12.491340067051555,0.0,0.0,27758.53348233679,0.0,0.0
